RESOLUTION:3120,2080
1753619467.091,384,1639
1753619467.107,383,1639
1753619467.123,382,1641
1753619467.123,381,1641
1753619467.138,379,1641
1753619467.154,378,1641
1753619467.169,377,1642
1753619467.189,376,1642
1753619467.191,375,1642
1753619467.201,374,1642
1753619467.201,373,1642
1753619467.218,373,1643
1753619467.232,371,1643
1753619467.232,370,1643
1753619467.232,369,1643
1753619467.248,368,1643
1753619467.264,367,1643
1753619467.279,366,1643
1753619467.311,365,1643
1753619467.327,363,1643
1753619467.327,362,1643
1753619467.344,361,1643
1753619467.344,361,1644
1753619467.36,360,1644
1753619467.378,359,1644
1753619467.4,358,1644
1753619467.411,357,1644
1753619467.419,357,1644
1753619467.438,356,1644
1753619467.456,354,1644
1753619467.469,353,1644
1753619467.485,352,1644
1753619467.501,352,1643
1753619467.516,351,1643
1753619467.532,351,1642
1753619467.547,350,1642
1753619467.566,349,1642
1753619467.579,348,1642
1753619467.579,348,1640
1753619467.596,346,1640
1753619467.596,346,1639
1753619467.596,345,1639
1753619467.611,344,1638
1753619467.626,343,1637
1753619467.642,342,1636
1753619467.642,342,1635
1753619467.658,341,1635
1753619467.704,341,1634
1753619467.73,341,1633
1753619467.736,341,1631
1753619467.799,341,1630
1753619467.83,341,1629
1753619467.846,341,1628
1753619467.846,341,1627
1753619467.862,341,1626
1753619467.877,341,1625
1753619467.893,341,1623
1753619467.924,341,1622
1753619467.971,341,1621
1753619467.987,341,1620
1753619467.987,341,1619
1753619468.049,340,1619
1753619468.175,340,1619
1753619468.175,340,1619
1753619468.207,340,1620
1753619468.221,340,1621
1753619468.237,341,1621
1753619468.253,341,1622
1753619468.268,341,1624
1753619468.29,342,1624
1753619468.3,342,1625
1753619468.335,343,1626
1753619468.347,343,1627
1753619468.373,344,1627
1753619468.394,344,1628
1753619468.408,345,1628
1753619468.427,345,1629
1753619468.427,347,1629
1753619468.459,347,1630
1753619468.472,348,1630
1753619468.507,349,1630
1753619468.535,350,1630
1753619468.568,350,1632
1753619468.629,350,1633
1753619468.645,351,1633
1753619468.676,351,1634
1753619468.696,352,1634
1753619468.771,352,1635
1753619468.788,353,1635
1753619468.843,355,1635
1753619468.849,356,1635
1753619468.881,357,1635
1753619468.881,358,1635
1753619468.898,359,1635
1753619468.912,360,1635
1753619468.912,361,1636
1753619468.912,362,1636
1753619468.929,364,1636
1753619468.934,366,1636
1753619468.934,367,1637
1753619468.944,368,1637
1753619468.961,369,1637
1753619468.961,371,1637
1753619468.975,372,1637
1753619468.991,373,1638
1753619469.006,374,1638
1753619469.006,375,1638
1753619469.022,376,1638
1753619469.038,377,1638
1753619469.069,379,1638
1753619469.069,379,1639
1753619469.1,380,1639
1753619469.116,381,1639
1753619469.116,382,1639
1753619469.147,383,1638
1753619469.147,384,1638
1753619469.194,385,1638
1753619469.194,385,1637
